,Unnamed: 0,Head,Review,Rating
186,186,The best ever 👍https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,I visit ode spa in chennai courtyard marriott hotel.I had body massage it's full relaxtion and excellent servicehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
187,187,Wow experiencehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Akin and Priya were very hospitable. Nice massage. Relaxing and soothing.Great ambience Clean bathrooms with all necessary items Must visit Highly recommended their packageshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
188,188,SPA Servicehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,I visit ODE Spa in Chennai courtyard Marriott Hotel..I had back pain and then I took neck back massage...Excellent service afte I got a full body relief..staff r very professional.. I’ll visit Againhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
189,189,Spa servicehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"I heard about ode spa, today I visited ode at courtyard Marriott, I took a spa and saloon service, they did a amazing work for me and they are very professional, hospitality of their spa was very excellent and I really service 🥰https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html",5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
190,190,Ode Spa is the Best Spa in Chennai https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"I just love Ode Spa. I have taken several services in Ode Spa at Courtyard Marriott Chennai. I have tried many spa centre in Chennai but Ode Spa is the best in Professional, well trained, excellent Hospitality  and customer service. Krosi and Deepenraj in Reception are the best Managers and such a humble cooperative persons. Helena, Hekamla and Sangi are outstanding in the therapies.I will always recommend Ode Spa Courtyard Marriott. Cheers. https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html",5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
191,191,Excellent Spa service https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"I stayed at courtyard Marriott which was located at teynampet for a business purpose in that I located a ode spa which as many branches, I heard about ode spa and their services, so I take a massage service there, I personally had a very good service and I like to visit again ☺️..https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html",4.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
192,192,Ode spa chennai (Anna Salai)https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,It was a great experience at ode spa chennai... Anna Salai...i will definitely recommend to my friends and family to have experience here.....Special thanks to sangiThank you...https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
193,193,Great experiencehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,One of the best spa in Chennai therapist are very knowledgeable and understand what would be the best treatment to suggest good work and best servicehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or20-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
194,194,Feeling Amazing.https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,It was an awesome experience whenever I come visit marriott  Spa. A clean well maintain ambiance. A lovely amazing therapy by the professionals followed by a steam and hot shower bath. Incredible.https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
195,195,Excellent.https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Service was beyond my expectation. They give excellent service,therapist was very professional. Room and bathroom also nice. Perfect hospitalityhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html",5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
196,196,Awesomehttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Excellent service. Staff are warm. They use premium quality of massage creams and very professional therapists. Steam and showers very nice.https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,5.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
197,197,Meetinghttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Location is perfectly good interms of accessing as metro station is within 2 minutes. Food is quite decent and overall hotel ambiance is good.Recommendedhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,4.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
198,198,Mrs tanayahttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Very poor welcome and manager with wrong attitude, m not going to come to this place specially ea o2,Had to remind people from the service I paid ... Really people???https://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html",1.0 of 5 bubbleshttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.htmlhttps://www.tripadvisor.in/Attraction_Review-g304556-d6696336-Reviews-or30-Ode_Spa_Courtyard_Marriott-Chennai_Madras_Chennai_District_Tamil_Nadu.html
